,Pressure,Property,Liq_Sat,Vap_Sat,75,100,125,150,175,200,220,225,240,250,260,275,280,290,300,320,325,340,350,360,375,380,400,425,450,475,500,525,550,575,600,625,650,New Column
93,475.0,U,631.294,2558.5,,,,2558.6,2601.9,2643.7,2676.3,,2708.5,,2740.4,,2772.2,,2803.9,,2843.6,,2883.4,,,,2963.8,,3045.4,,3128.6,,3213.3,,3299.7,,3387.7,U at 475.0
97,500.0,U,639.569,2560.2,,,,,2600.6,2642.7,2675.5,,2707.8,,2739.8,,2771.7,,2803.5,,2843.2,,2883.1,,,,2963.5,,3045.2,,3128.4,,3213.1,,3299.5,,3387.6,U at 500.0
101,525.0,U,647.528,2561.8,,,,,2599.3,2641.6,2674.6,,2707.1,,2739.2,,2771.2,,2803.0,,2842.8,,2882.7,,,,2963.2,,3045.0,,3128.2,,3213.0,,3299.4,,3387.5,U at 525.0
105,550.0,U,655.199,2563.3,,,,,2598.0,2640.6,2673.8,,2706.4,,2738.6,,2770.6,,2802.6,,2842.4,,2882.4,,,,2963.0,,3044.7,,3128.0,,3212.8,,3299.2,,3387.3,U at 550.0
109,575.0,U,662.603,2564.8,,,,,2596.6,2639.6,2672.9,,2705.7,,2738.0,,2770.1,,2802.1,,2842.0,,2882.1,,,,2962.7,,3044.5,,3127.8,,3212.6,,3299.1,,3387.2,U at 575.0
113,600.0,U,669.762,2566.2,,,,,2595.3,2638.5,2672.1,,2705.0,,2737.4,,2769.6,,2801.6,,2841.6,,2881.7,,,,2962.4,,3044.3,,3127.6,,3212.4,,3298.9,,3387.1,U at 600.0
117,625.0,U,676.695,2567.5,,,,,2593.9,2637.5,2671.2,,2704.2,,2736.8,,2769.1,,2801.2,,2841.2,,2881.4,,,,2962.1,,3044.0,,3127.4,,3212.2,,3298.8,,3386.9,U at 625.0
121,650.0,U,683.417,2568.7,,,,,2592.5,2636.4,2670.3,,2703.5,,2736.2,,2768.5,,2800.7,,2840.9,,2881.0,,,,2961.8,,3043.8,,3127.2,,3212.1,,3298.6,,3386.8,U at 650.0
125,675.0,U,689.943,2570.0,,,,,2591.1,2635.4,2669.5,,2702.8,,2735.6,,2768.0,,2800.3,,2840.5,,2880.7,,,,2961.6,,3043.6,,3127.0,,3211.9,,3298.5,,3386.7,U at 675.0
129,700.0,U,696.285,2571.1,,,,,2589.7,2634.3,2668.6,,2702.1,,2735.0,,2767.5,,2799.8,,2840.1,,2880.3,,,,2961.3,,3043.3,,3126.8,,3211.7,,3298.3,,3386.5,U at 700.0
